============================================================
PPO Training Summary
============================================================

Training Time: 20251217_131313
Total Updates: 1200
Total Samples: 36000

------------------------------------------------------------
Training Progress:
------------------------------------------------------------
Update 184: Return=-1937.83, Acceptance=96.67%, Samples=30
Update 185: Return=-1169.35, Acceptance=93.33%, Samples=30
Update 186: Return=-1849.15, Acceptance=93.33%, Samples=30
Update 187: Return=-1482.41, Acceptance=93.33%, Samples=30
Update 188: Return=-2064.28, Acceptance=93.33%, Samples=30
Update 189: Return=-2276.40, Acceptance=96.67%, Samples=30
Update 190: Return=-2253.82, Acceptance=93.33%, Samples=30
Update 191: Return=-2313.97, Acceptance=93.33%, Samples=30
Update 192: Return=-1518.60, Acceptance=93.33%, Samples=30
Update 193: Return=-1314.70, Acceptance=96.67%, Samples=30
Update 194: Return=-2499.67, Acceptance=93.33%, Samples=30
Update 195: Return=-1385.75, Acceptance=93.33%, Samples=30
Update 196: Return=-2271.52, Acceptance=96.67%, Samples=30
Update 197: Return=-1075.78, Acceptance=96.67%, Samples=30
Update 198: Return=-2339.13, Acceptance=93.33%, Samples=30
Update 199: Return=-1974.25, Acceptance=93.33%, Samples=30
Update 200: Return=-1324.35, Acceptance=93.33%, Samples=30
Update 201: Return=-1302.14, Acceptance=93.33%, Samples=30
Update 202: Return=-1605.35, Acceptance=93.33%, Samples=30
Update 203: Return=-1992.19, Acceptance=93.33%, Samples=30
Update 204: Return=-2878.96, Acceptance=93.33%, Samples=30
Update 205: Return=-1460.56, Acceptance=93.33%, Samples=30
Update 206: Return=-2925.01, Acceptance=93.33%, Samples=30
Update 207: Return=-1246.05, Acceptance=96.67%, Samples=30
Update 208: Return=-1550.54, Acceptance=93.33%, Samples=30
Update 209: Return=-1349.43, Acceptance=96.67%, Samples=30
Update 210: Return=-1341.18, Acceptance=93.33%, Samples=30
Update 211: Return=-2343.20, Acceptance=93.33%, Samples=30
Update 212: Return=-1754.63, Acceptance=93.33%, Samples=30
Update 213: Return=-1422.55, Acceptance=96.67%, Samples=30
Update 214: Return=-1509.17, Acceptance=93.33%, Samples=30
Update 215: Return=-1567.51, Acceptance=93.33%, Samples=30
Update 216: Return=-2598.85, Acceptance=93.33%, Samples=30
Update 217: Return=-2310.00, Acceptance=93.33%, Samples=30
Update 218: Return=-2287.31, Acceptance=93.33%, Samples=30
Update 219: Return=-1073.45, Acceptance=93.33%, Samples=30
Update 220: Return=-1616.12, Acceptance=96.67%, Samples=30
Update 221: Return=-1658.93, Acceptance=93.33%, Samples=30
Update 222: Return=-1971.76, Acceptance=93.33%, Samples=30
Update 223: Return=-1238.21, Acceptance=93.33%, Samples=30
Update 224: Return=-2954.39, Acceptance=93.33%, Samples=30
Update 225: Return=-1475.78, Acceptance=93.33%, Samples=30
Update 226: Return=-2139.66, Acceptance=93.33%, Samples=30
Update 227: Return=-2605.20, Acceptance=93.33%, Samples=30
Update 228: Return=-1715.38, Acceptance=96.67%, Samples=30
Update 229: Return=-2605.81, Acceptance=96.67%, Samples=30
Update 230: Return=-1938.67, Acceptance=93.33%, Samples=30
Update 231: Return=-1133.47, Acceptance=96.67%, Samples=30
Update 232: Return=-2016.91, Acceptance=96.67%, Samples=30
Update 233: Return=-1826.21, Acceptance=96.67%, Samples=30
Update 234: Return=-1485.26, Acceptance=93.33%, Samples=30
Update 235: Return=-1431.50, Acceptance=93.33%, Samples=30
Update 236: Return=-2257.50, Acceptance=93.33%, Samples=30
Update 237: Return=-1926.70, Acceptance=93.33%, Samples=30
Update 238: Return=-1585.79, Acceptance=93.33%, Samples=30
Update 239: Return=-1570.74, Acceptance=96.67%, Samples=30
Update 240: Return=-2813.29, Acceptance=93.33%, Samples=30
Update 241: Return=-1516.24, Acceptance=93.33%, Samples=30
Update 242: Return=-1700.84, Acceptance=93.33%, Samples=30
Update 243: Return=-2844.13, Acceptance=93.33%, Samples=30
Update 244: Return=-1413.57, Acceptance=96.67%, Samples=30
Update 245: Return=-1466.01, Acceptance=93.33%, Samples=30
Update 246: Return=-1531.28, Acceptance=96.67%, Samples=30
Update 247: Return=-1650.14, Acceptance=93.33%, Samples=30
Update 248: Return=-1869.14, Acceptance=96.67%, Samples=30
Update 249: Return=-2574.55, Acceptance=93.33%, Samples=30
Update 250: Return=-2967.97, Acceptance=93.33%, Samples=30
Update 251: Return=-1662.43, Acceptance=96.67%, Samples=30
Update 252: Return=-2160.70, Acceptance=93.33%, Samples=30
Update 253: Return=-2107.45, Acceptance=93.33%, Samples=30
Update 254: Return=-1751.76, Acceptance=93.33%, Samples=30
Update 255: Return=-1883.19, Acceptance=93.33%, Samples=30
Update 256: Return=-1766.12, Acceptance=93.33%, Samples=30
Update 257: Return=-1958.41, Acceptance=96.67%, Samples=30
Update 258: Return=-2216.78, Acceptance=96.67%, Samples=30
Update 259: Return=-1373.69, Acceptance=93.33%, Samples=30
Update 260: Return=-2160.91, Acceptance=93.33%, Samples=30
Update 261: Return=-1093.78, Acceptance=93.33%, Samples=30
Update 262: Return=-1747.45, Acceptance=93.33%, Samples=30
Update 263: Return=-2092.74, Acceptance=93.33%, Samples=30
Update 264: Return=-2196.18, Acceptance=93.33%, Samples=30
Update 265: Return=-1119.26, Acceptance=93.33%, Samples=30
Update 266: Return=-2037.36, Acceptance=93.33%, Samples=30
Update 267: Return=-3110.60, Acceptance=93.33%, Samples=30
Update 268: Return=-2515.93, Acceptance=93.33%, Samples=30
Update 269: Return=-2428.46, Acceptance=93.33%, Samples=30
Update 270: Return=-1904.14, Acceptance=96.67%, Samples=30
Update 271: Return=-1828.70, Acceptance=93.33%, Samples=30
Update 272: Return=-2223.93, Acceptance=93.33%, Samples=30
Update 273: Return=-1061.11, Acceptance=93.33%, Samples=30
Update 274: Return=-1728.82, Acceptance=93.33%, Samples=30
Update 275: Return=-1228.28, Acceptance=96.67%, Samples=30
Update 276: Return=-1666.85, Acceptance=93.33%, Samples=30
Update 277: Return=-2011.69, Acceptance=96.67%, Samples=30
Update 278: Return=-1553.36, Acceptance=93.33%, Samples=30
Update 279: Return=-1662.17, Acceptance=96.67%, Samples=30
Update 280: Return=-2383.41, Acceptance=96.67%, Samples=30
Update 281: Return=-1409.34, Acceptance=93.33%, Samples=30
Update 282: Return=-1211.45, Acceptance=96.67%, Samples=30
Update 283: Return=-1907.54, Acceptance=93.33%, Samples=30
Update 284: Return=-1743.47, Acceptance=93.33%, Samples=30
Update 285: Return=-1621.42, Acceptance=93.33%, Samples=30
Update 286: Return=-1903.79, Acceptance=93.33%, Samples=30
Update 287: Return=-1056.62, Acceptance=96.67%, Samples=30
Update 288: Return=-1761.26, Acceptance=93.33%, Samples=30
Update 289: Return=-1749.11, Acceptance=93.33%, Samples=30
Update 290: Return=-2089.43, Acceptance=96.67%, Samples=30
Update 291: Return=-1394.45, Acceptance=93.33%, Samples=30
Update 292: Return=-1734.36, Acceptance=93.33%, Samples=30
Update 293: Return=-1075.33, Acceptance=96.67%, Samples=30
Update 294: Return=-2571.54, Acceptance=93.33%, Samples=30
Update 295: Return=-1658.61, Acceptance=93.33%, Samples=30
Update 296: Return=-1590.49, Acceptance=93.33%, Samples=30
Update 297: Return=-1529.19, Acceptance=93.33%, Samples=30
Update 298: Return=-1617.14, Acceptance=96.67%, Samples=30
Update 299: Return=-1837.09, Acceptance=96.67%, Samples=30
Update 300: Return=-1462.33, Acceptance=96.67%, Samples=30
Update 301: Return=-1628.44, Acceptance=93.33%, Samples=30
Update 302: Return=-2116.34, Acceptance=96.67%, Samples=30
Update 303: Return=-2525.65, Acceptance=93.33%, Samples=30
Update 304: Return=-1102.53, Acceptance=93.33%, Samples=30
Update 305: Return=-1924.65, Acceptance=93.33%, Samples=30
Update 306: Return=-1559.22, Acceptance=93.33%, Samples=30
Update 307: Return=-1447.51, Acceptance=93.33%, Samples=30
Update 308: Return=-1676.62, Acceptance=96.67%, Samples=30
Update 309: Return=-1890.53, Acceptance=96.67%, Samples=30
Update 310: Return=-1451.99, Acceptance=93.33%, Samples=30
Update 311: Return=-1895.54, Acceptance=93.33%, Samples=30
Update 312: Return=-1111.91, Acceptance=96.67%, Samples=30
Update 313: Return=-1758.40, Acceptance=93.33%, Samples=30
Update 314: Return=-2180.24, Acceptance=93.33%, Samples=30
Update 315: Return=-1457.75, Acceptance=93.33%, Samples=30
Update 316: Return=-1455.85, Acceptance=93.33%, Samples=30
Update 317: Return=-1106.14, Acceptance=96.67%, Samples=30
Update 318: Return=-1720.54, Acceptance=93.33%, Samples=30
Update 319: Return=-1681.00, Acceptance=93.33%, Samples=30
Update 320: Return=-2070.74, Acceptance=93.33%, Samples=30
Update 321: Return=-1591.03, Acceptance=96.67%, Samples=30
Update 322: Return=-1992.48, Acceptance=96.67%, Samples=30
Update 323: Return=-2950.21, Acceptance=93.33%, Samples=30
Update 324: Return=-1266.55, Acceptance=96.67%, Samples=30
Update 325: Return=-1369.74, Acceptance=96.67%, Samples=30
Update 326: Return=-1400.27, Acceptance=93.33%, Samples=30
Update 327: Return=-2042.48, Acceptance=93.33%, Samples=30
Update 328: Return=-1304.43, Acceptance=96.67%, Samples=30
Update 329: Return=-2232.90, Acceptance=93.33%, Samples=30
Update 330: Return=-3081.29, Acceptance=93.33%, Samples=30
Update 331: Return=-1270.88, Acceptance=93.33%, Samples=30
Update 332: Return=-1683.91, Acceptance=93.33%, Samples=30
Update 333: Return=-2221.23, Acceptance=93.33%, Samples=30
Update 334: Return=-1877.71, Acceptance=96.67%, Samples=30
Update 335: Return=-2045.33, Acceptance=96.67%, Samples=30
Update 336: Return=-1823.43, Acceptance=93.33%, Samples=30
Update 337: Return=-2309.20, Acceptance=93.33%, Samples=30
Update 338: Return=-1330.51, Acceptance=93.33%, Samples=30
Update 339: Return=-2169.62, Acceptance=96.67%, Samples=30
Update 340: Return=-1281.79, Acceptance=96.67%, Samples=30
Update 341: Return=-1627.71, Acceptance=93.33%, Samples=30
Update 342: Return=-1686.66, Acceptance=93.33%, Samples=30
Update 343: Return=-3054.22, Acceptance=93.33%, Samples=30
Update 344: Return=-2445.91, Acceptance=93.33%, Samples=30
Update 345: Return=-1402.04, Acceptance=93.33%, Samples=30
Update 346: Return=-1273.82, Acceptance=93.33%, Samples=30
Update 347: Return=-2103.57, Acceptance=96.67%, Samples=30
Update 348: Return=-1168.32, Acceptance=93.33%, Samples=30
Update 349: Return=-1533.33, Acceptance=96.67%, Samples=30
Update 350: Return=-2336.36, Acceptance=93.33%, Samples=30
Update 351: Return=-1846.29, Acceptance=93.33%, Samples=30
Update 352: Return=-1929.35, Acceptance=93.33%, Samples=30
Update 353: Return=-2246.96, Acceptance=96.67%, Samples=30
Update 354: Return=-997.57, Acceptance=93.33%, Samples=30
Update 355: Return=-1722.60, Acceptance=96.67%, Samples=30
Update 356: Return=-1641.51, Acceptance=93.33%, Samples=30
Update 357: Return=-1828.90, Acceptance=93.33%, Samples=30
Update 358: Return=-2166.11, Acceptance=93.33%, Samples=30
Update 359: Return=-1385.50, Acceptance=96.67%, Samples=30
Update 360: Return=-1768.64, Acceptance=93.33%, Samples=30
Update 361: Return=-1254.71, Acceptance=96.67%, Samples=30
Update 362: Return=-2261.04, Acceptance=93.33%, Samples=30
Update 363: Return=-1738.76, Acceptance=93.33%, Samples=30
Update 364: Return=-1547.19, Acceptance=93.33%, Samples=30
Update 365: Return=-1662.40, Acceptance=96.67%, Samples=30
Update 366: Return=-3117.45, Acceptance=93.33%, Samples=30
Update 367: Return=-1024.71, Acceptance=93.33%, Samples=30
Update 368: Return=-1921.17, Acceptance=96.67%, Samples=30
Update 369: Return=-1979.34, Acceptance=93.33%, Samples=30
Update 370: Return=-928.50, Acceptance=96.67%, Samples=30
Update 371: Return=-1586.39, Acceptance=93.33%, Samples=30
Update 372: Return=-1799.52, Acceptance=93.33%, Samples=30
Update 373: Return=-1158.76, Acceptance=93.33%, Samples=30
Update 374: Return=-1820.39, Acceptance=93.33%, Samples=30
Update 375: Return=-2510.57, Acceptance=93.33%, Samples=30
Update 376: Return=-2198.47, Acceptance=93.33%, Samples=30
Update 377: Return=-1739.39, Acceptance=93.33%, Samples=30
Update 378: Return=-1780.51, Acceptance=93.33%, Samples=30
Update 379: Return=-1586.76, Acceptance=93.33%, Samples=30
Update 380: Return=-1463.34, Acceptance=96.67%, Samples=30
Update 381: Return=-1549.58, Acceptance=93.33%, Samples=30
Update 382: Return=-2260.53, Acceptance=96.67%, Samples=30
