============================================================
PPO Training Summary
============================================================

Training Time: 20251217_134109
Total Updates: 1200
Total Samples: 36000

------------------------------------------------------------
Training Progress:
------------------------------------------------------------
Update 293: Return=-1075.33, Acceptance=96.67%, Samples=30
Update 294: Return=-2571.54, Acceptance=93.33%, Samples=30
Update 295: Return=-1658.61, Acceptance=93.33%, Samples=30
Update 296: Return=-1959.88, Acceptance=96.67%, Samples=30
Update 297: Return=-1629.85, Acceptance=93.33%, Samples=30
Update 298: Return=-1786.63, Acceptance=93.33%, Samples=30
Update 299: Return=-1837.09, Acceptance=96.67%, Samples=30
Update 300: Return=-1173.96, Acceptance=93.33%, Samples=30
Update 301: Return=-2397.48, Acceptance=93.33%, Samples=30
Update 302: Return=-2116.34, Acceptance=96.67%, Samples=30
Update 303: Return=-2525.65, Acceptance=93.33%, Samples=30
Update 304: Return=-1620.82, Acceptance=93.33%, Samples=30
Update 305: Return=-2874.83, Acceptance=93.33%, Samples=30
Update 306: Return=-1535.52, Acceptance=93.33%, Samples=30
Update 307: Return=-1300.24, Acceptance=96.67%, Samples=30
Update 308: Return=-1632.26, Acceptance=96.67%, Samples=30
Update 309: Return=-2071.59, Acceptance=96.67%, Samples=30
Update 310: Return=-1316.84, Acceptance=96.67%, Samples=30
Update 311: Return=-1895.54, Acceptance=93.33%, Samples=30
Update 312: Return=-1111.91, Acceptance=96.67%, Samples=30
Update 313: Return=-1486.45, Acceptance=96.67%, Samples=30
Update 314: Return=-2446.77, Acceptance=93.33%, Samples=30
Update 315: Return=-1387.03, Acceptance=93.33%, Samples=30
Update 316: Return=-2083.42, Acceptance=93.33%, Samples=30
Update 317: Return=-1106.14, Acceptance=96.67%, Samples=30
Update 318: Return=-1720.54, Acceptance=93.33%, Samples=30
Update 319: Return=-2086.59, Acceptance=96.67%, Samples=30
Update 320: Return=-1814.02, Acceptance=96.67%, Samples=30
Update 321: Return=-1591.03, Acceptance=96.67%, Samples=30
Update 322: Return=-1968.17, Acceptance=96.67%, Samples=30
Update 323: Return=-2950.21, Acceptance=93.33%, Samples=30
Update 324: Return=-1266.55, Acceptance=96.67%, Samples=30
Update 325: Return=-1369.74, Acceptance=96.67%, Samples=30
Update 326: Return=-1400.27, Acceptance=93.33%, Samples=30
Update 327: Return=-2006.08, Acceptance=93.33%, Samples=30
Update 328: Return=-1765.17, Acceptance=93.33%, Samples=30
Update 329: Return=-2323.78, Acceptance=93.33%, Samples=30
Update 330: Return=-3081.29, Acceptance=93.33%, Samples=30
Update 331: Return=-1300.33, Acceptance=96.67%, Samples=30
Update 332: Return=-1683.91, Acceptance=93.33%, Samples=30
Update 333: Return=-2243.37, Acceptance=93.33%, Samples=30
Update 334: Return=-1913.98, Acceptance=96.67%, Samples=30
Update 335: Return=-2192.20, Acceptance=93.33%, Samples=30
Update 336: Return=-1823.43, Acceptance=93.33%, Samples=30
Update 337: Return=-2309.20, Acceptance=93.33%, Samples=30
Update 338: Return=-1346.16, Acceptance=93.33%, Samples=30
Update 339: Return=-2139.50, Acceptance=93.33%, Samples=30
Update 340: Return=-1294.07, Acceptance=96.67%, Samples=30
Update 341: Return=-1475.50, Acceptance=96.67%, Samples=30
Update 342: Return=-1383.22, Acceptance=96.67%, Samples=30
Update 343: Return=-3102.24, Acceptance=93.33%, Samples=30
Update 344: Return=-2317.91, Acceptance=93.33%, Samples=30
Update 345: Return=-1792.57, Acceptance=93.33%, Samples=30
Update 346: Return=-1273.82, Acceptance=93.33%, Samples=30
Update 347: Return=-2103.57, Acceptance=96.67%, Samples=30
Update 348: Return=-1563.42, Acceptance=93.33%, Samples=30
Update 349: Return=-1521.53, Acceptance=96.67%, Samples=30
Update 350: Return=-2336.36, Acceptance=93.33%, Samples=30
Update 351: Return=-2324.63, Acceptance=93.33%, Samples=30
Update 352: Return=-1889.80, Acceptance=93.33%, Samples=30
Update 353: Return=-2554.02, Acceptance=93.33%, Samples=30
Update 354: Return=-1112.19, Acceptance=96.67%, Samples=30
Update 355: Return=-1722.60, Acceptance=96.67%, Samples=30
Update 356: Return=-1591.46, Acceptance=93.33%, Samples=30
Update 357: Return=-1828.90, Acceptance=93.33%, Samples=30
Update 358: Return=-2043.71, Acceptance=96.67%, Samples=30
Update 359: Return=-1628.49, Acceptance=93.33%, Samples=30
Update 360: Return=-1768.64, Acceptance=93.33%, Samples=30
